epoch,train_loss,train_f1,val_loss,val_f1,val_recall,val_roc_auc
1,0.7684547305107117,0.06910422062419516,0.712437093257904,0.07451312447078746,0.12021857923497267,0.5443630701954363
2,0.7708324193954468,0.06916226196510028,0.7123652696609497,0.07457627118644068,0.12021857923497267,0.5443443313782789
3,0.763947069644928,0.06916326353288729,0.712293803691864,0.07457627118644068,0.12021857923497267,0.5442751618273887
4,0.763129711151123,0.06916626841030542,0.7122379541397095,0.07476635514018691,0.12021857923497267,0.5443757642328656
5,0.7645440697669983,0.06880660821679588,0.712192177772522,0.0723404255319149,0.11612021857923498,0.5444178186289748
6,0.7582098841667175,0.06851070024748872,0.7121361494064331,0.07261317794710892,0.11065573770491803,0.5444185094609438
7,0.7570355534553528,0.06851269508502213,0.712090790271759,0.07258064516129031,0.11065573770491803,0.5444742077884396
8,0.7519037127494812,0.06851369254735248,0.7120524644851685,0.07254814151365875,0.11065573770491803,0.5444383708800508
9,0.7547817826271057,0.06851369254735248,0.7120011448860168,0.07254814151365875,0.11065573770491803,0.5442040924885839
10,0.7511095404624939,0.06851369254735248,0.7119534611701965,0.07254814151365875,0.11065573770491803,0.5441738685899429
11,0.7491524815559387,0.06851369254735248,0.711909830570221,0.07254814151365875,0.11065573770491803,0.5494998376544873
12,0.7432093620300293,0.06851369254735248,0.7118621468544006,0.07251566696508506,0.11065573770491803,0.5494553653464868
13,0.7404126524925232,0.06851369254735248,0.7118006944656372,0.07251566696508506,0.11065573770491803,0.5517550586170926
14,0.7407616376876831,0.06851469003872696,0.7117357850074768,0.07251566696508506,0.11065573770491803,0.5465748550979945
15,0.7379395365715027,0.06851469003872696,0.7116492986679077,0.07251566696508506,0.11065573770491803,0.5464163091611227
16,0.7367296814918518,0.06851469003872696,0.7115830779075623,0.07251566696508506,0.11065573770491803,0.5460841916920547
17,0.7355678677558899,0.06851568755914682,0.7115064859390259,0.07251566696508506,0.11065573770491803,0.5461057801910841
18,0.7323516607284546,0.06851568755914682,0.7114369869232178,0.07251566696508506,0.11065573770491803,0.5461407535595117
19,0.7309152483940125,0.06851668510861336,0.7113599181175232,0.07251566696508506,0.11065573770491803,0.5461448985513254
20,0.7279550433158875,0.06851568755914682,0.7112536430358887,0.07251566696508506,0.11065573770491803,0.5464370341201908
21,0.7276586294174194,0.06851568755914682,0.711149275302887,0.07251566696508506,0.11065573770491803,0.5466298625935214
22,0.7285249829292297,0.06851668510861336,0.7110395431518555,0.07251566696508506,0.11065573770491803,0.5471048959261638
23,0.7244608402252197,0.06851668510861336,0.7109445333480835,0.07251566696508506,0.11065573770491803,0.5476089442015019
24,0.7261227965354919,0.06851668510861336,0.710856556892395,0.07251566696508506,0.11065573770491803,0.5315698983786173
