epoch,train_loss,train_f1,val_loss,val_f1,val_recall,val_roc_auc
1,0.8679456114768982,0.06829775857334855,0.7155114412307739,0.06691449814126395,0.11065573770491803,0.5514645637741532
2,0.8675909042358398,0.06835703024429754,0.7154316306114197,0.06696982224059529,0.11065573770491803,0.5514091245086458
3,0.8653439879417419,0.06835801897708864,0.7153396606445312,0.06696982224059529,0.11065573770491803,0.551483561653299
4,0.8628064393997192,0.0683609853470846,0.715268611907959,0.06699751861042183,0.11065573770491803,0.5515643026396689
5,0.860120952129364,0.06791928432876872,0.7152062058448792,0.0664451827242525,0.1092896174863388,0.5514519560907201
6,0.8582740426063538,0.06779907507053315,0.7151076793670654,0.06003430531732418,0.09562841530054644,0.5516203463831493
7,0.853956937789917,0.06780203318838261,0.7150073051452637,0.06003430531732418,0.09562841530054644,0.5514627503402347
8,0.8535528182983398,0.06780301928502865,0.7149068117141724,0.06000857265323618,0.09562841530054644,0.5512890924540423
9,0.8493849039077759,0.06780301928502865,0.7148178219795227,0.05998286203941732,0.09562841530054644,0.5514496245328249
10,0.8512872457504272,0.06780301928502865,0.7147427797317505,0.05998286203941732,0.09562841530054644,0.5513808867519153
11,0.8469629883766174,0.06780301928502865,0.7146753072738647,0.059957173447537475,0.09562841530054644,0.5553036897335462
12,0.8426511883735657,0.06780301928502865,0.7145955562591553,0.059957173447537475,0.09562841530054644,0.5551495478504763
13,0.8429733514785767,0.06780301928502865,0.7145052552223206,0.059957173447537475,0.09562841530054644,0.5630815941638515
14,0.8415549993515015,0.06780301928502865,0.7144373059272766,0.059957173447537475,0.09562841530054644,0.5599346818373367
15,0.8364361524581909,0.06780400541035822,0.7143540382385254,0.059957173447537475,0.09562841530054644,0.5594113766208645
16,0.8352171182632446,0.06780400541035822,0.7142632007598877,0.059957173447537475,0.09562841530054644,0.5592292560430526
17,0.8346682190895081,0.06780400541035822,0.7141557335853577,0.059957173447537475,0.09562841530054644,0.5590437676593921
18,0.8302661180496216,0.06780400541035822,0.7140563130378723,0.059957173447537475,0.09562841530054644,0.5587667440398472
19,0.8298863768577576,0.06780499156437256,0.713951587677002,0.059957173447537475,0.09562841530054644,0.5584555242378397
20,0.8303415775299072,0.06780400541035822,0.7138503789901733,0.059957173447537475,0.09562841530054644,0.5584112246378312
21,0.8289681077003479,0.06780499156437256,0.71375572681427,0.059957173447537475,0.09562841530054644,0.5583841094830504
22,0.8261599540710449,0.06780597774707293,0.7136307954788208,0.059957173447537475,0.09562841530054644,0.5584191692054741
23,0.8240500688552856,0.06780597774707293,0.7134993076324463,0.059957173447537475,0.09562841530054644,0.5581042361816334
24,0.8229074478149414,0.06780597774707293,0.7133796215057373,0.059957173447537475,0.09562841530054644,0.5306994500977527
