epoch,train_loss,train_f1,val_loss,val_f1,val_recall,val_roc_auc
1,21968.98828125,0.0,20159.330078125,0.0,0.0,0.5
2,18674.26171875,0.0,15309.580078125,0.0,0.0,0.5
3,14938.02734375,0.0,10483.0361328125,0.0,0.0,0.5
4,14609.7724609375,0.09848796846502325,5748.15576171875,0.07807118254879448,0.04644808743169399,0.5167598426284775
5,11423.9931640625,0.40249342331007665,2540.3037109375,0.25948406676783003,0.4672131147540984,0.636477223269984
6,11581.181640625,0.31672099032307094,2531.94189453125,0.2318111455108359,0.8183060109289617,0.667480380372082
7,10918.5966796875,0.2270096463022508,4318.69921875,0.17946370176586005,0.9371584699453552,0.5751830704717691
8,11847.73828125,0.1321192502716407,6293.53173828125,0.15708430264761272,0.9685792349726776,0.5048173440274122
9,11095.6767578125,0.12545634583262485,7755.4638671875,0.15537547271745003,0.98224043715847,0.49781947524403636
10,11961.8740234375,0.12516404814578724,8557.2548828125,0.15661103979460844,1.0,0.5017067003792668
11,12568.1513671875,0.1230172766235019,8653.103515625,0.1563935476978955,1.0,0.5008849557522124
12,11933.7666015625,0.13384409424341034,8141.18603515625,0.15698048466652367,1.0,0.5030973451327434
13,10923.2763671875,0.17763628907254617,7175.3466796875,0.1729678638941399,1.0,0.5575221238938053
14,10413.1005859375,0.20477658189250214,5917.5517578125,0.182521847690387,0.9986338797814208,0.5859773199864597
15,10823.3310546875,0.2352560826806554,4645.90771484375,0.20546762589928055,0.9754098360655737,0.6401406188472778
16,10263.546875,0.2837216285195649,3492.441650390625,0.21758521822236382,0.9330601092896175,0.6595922018887346
17,9562.0439453125,0.33052418675206474,2665.8818359375,0.22340620981076614,0.8306010928961749,0.6563958087224444
18,9061.103515625,0.36089748672005073,2324.6015625,0.239869585468095,0.703551912568306,0.6587917003447252
19,9265.646484375,0.3867119014549512,2377.34716796875,0.24159192825112108,0.5887978142076503,0.6430505758084462
20,8563.9248046875,0.4013802202263155,2656.88134765625,0.2597662771285476,0.5314207650273224,0.6470352946052932
21,8663.396484375,0.4072149357969699,3020.950439453125,0.25368502715283164,0.44672131147540983,0.6314546157938006
22,7892.787109375,0.40626735654359963,3366.164306640625,0.2630884293884734,0.40846994535519127,0.6274515899497766
23,9379.3544921875,0.4066974180794345,3588.90478515625,0.26392138511932617,0.38524590163934425,0.6226725870966405
24,9256.2861328125,0.40723818684621865,3692.6328125,0.26641473783656117,0.38524590163934425,0.6227357118678024
25,8530.7841796875,0.4051571882726952,3665.755126953125,0.2617753623188406,0.3948087431693989,0.6252780598674984
26,9012.998046875,0.40754354218502603,3515.865234375,0.25806451612903225,0.4262295081967213,0.6307046313375197
27,8432.0048828125,0.4047070176379135,3340.72900390625,0.2586844050258684,0.4781420765027322,0.6370315295710625
28,8477.537109375,0.3982767359351242,3203.226806640625,0.25594025797691783,0.5150273224043715,0.6411227228451224
29,7825.2236328125,0.3880632392329754,3083.1171875,0.260708782742681,0.5778688524590164,0.6571318038313542
30,8201.591796875,0.37559140021565474,3028.0087890625,0.2573756673222815,0.6256830601092896,0.6626139872748751
31,7328.27197265625,0.36210096889342175,3052.867431640625,0.25045278137128074,0.6612021857923497,0.66329203885239
32,7208.82177734375,0.3450918516848867,3132.421142578125,0.2372562837679117,0.6898907103825137,0.654544638107673
33,7368.77294921875,0.331557758908637,3270.556884765625,0.22930770910679188,0.7172131147540983,0.6493325699640077
34,7054.1689453125,0.3207158747551217,3436.146728515625,0.2251135894258571,0.744535519125683,0.6455762574868915
35,6588.57421875,0.3124314529588479,3606.923095703125,0.22430636967565457,0.7841530054644809,0.6520751728807002
36,6818.89599609375,0.30673201405585354,3749.5947265625,0.22175572519083972,0.7937158469945356,0.649216682901218
37,6806.91796875,0.30629636441665137,3856.015380859375,0.22213841221949843,0.8046448087431693,0.6506505910067494
38,7434.89453125,0.30844326361642316,3925.802001953125,0.22230595327807082,0.8060109289617486,0.6508251987868992
39,6693.99609375,0.3134888582695871,3933.643798828125,0.2236166571591557,0.8032786885245902,0.6525669588885896
40,6588.9072265625,0.3211382113821138,3899.865478515625,0.224640497473766,0.7896174863387978,0.6525307765642163
41,6591.55712890625,0.3284728330739563,3862.739990234375,0.2280561122244489,0.7773224043715847,0.6565287075224693
42,5959.75341796875,0.33517359833149307,3811.6240234375,0.23008483343678873,0.7595628415300546,0.6574206579483671
43,6954.96240234375,0.3418160786581839,3767.307861328125,0.22512864493996568,0.7172131147540983,0.6475963365180687
44,6229.97265625,0.3547194266544679,3724.27197265625,0.23295327520679635,0.7117486338797814,0.6522496943068536
