epoch,train_loss,train_f1,val_loss,val_f1,val_recall,val_roc_auc
1,1.528702974319458,0.06910122113548238,0.7118639945983887,0.07448159119763013,0.12021857923497267,0.5444384572340469
2,1.5257670879364014,0.06910322076569146,0.7112947702407837,0.07448159119763013,0.12021857923497267,0.5445573666867008
3,1.5220942497253418,0.0691072203733179,0.7109556794166565,0.07448159119763013,0.12021857923497267,0.5445127216707081
4,1.5147957801818848,0.0691102203828845,0.7105875015258789,0.07448159119763013,0.12021857923497267,0.5445716150960601
5,1.5080513954162598,0.06916626841030542,0.7102318406105042,0.0745446844557391,0.12021857923497267,0.5448227325167698
6,1.5083247423171997,0.06916727009413469,0.7099204659461975,0.07467119219346627,0.12021857923497267,0.5450754043094097
7,1.503950834274292,0.06916927354883559,0.7096696496009827,0.07467119219346627,0.12021857923497267,0.5452649513308877
8,1.4968531131744385,0.06850970287228311,0.7094284296035767,0.07251566696508506,0.11065573770491803,0.5456594163851526
9,1.4905486106872559,0.06851070024748872,0.7091879844665527,0.07251566696508506,0.11065573770491803,0.5460798739922489
10,1.4904531240463257,0.06854199106480201,0.7089674472808838,0.07251566696508506,0.11065573770491803,0.5466109510683715
11,1.4909889698028564,0.06854498355502517,0.7087513208389282,0.07251566696508506,0.11065573770491803,0.5529344814960657
12,1.4846874475479126,0.06854598110983366,0.7085158824920654,0.07251566696508506,0.11065573770491803,0.5561235345726858
13,1.4793369770050049,0.06854697869367796,0.7082335948944092,0.07251566696508506,0.11065573770491803,0.5570318922578462
14,1.472257137298584,0.06854697869367796,0.7079294323921204,0.07251566696508506,0.11065573770491803,0.5525580644269894
15,1.4731452465057373,0.06854697869367796,0.7076277136802673,0.07251566696508506,0.11065573770491803,0.5527939835443825
16,1.4703853130340576,0.06854697869367796,0.7073168158531189,0.07251566696508506,0.11065573770491803,0.5529628919607884
17,1.4677295684814453,0.06854797630655936,0.7069915533065796,0.07251566696508506,0.11065573770491803,0.5534614999343709
18,1.4619216918945312,0.06854797630655936,0.7066399455070496,0.07251566696508506,0.11065573770491803,0.5541151133309844
19,1.4633939266204834,0.06854697869367796,0.7062891721725464,0.07251566696508506,0.11065573770491803,0.554408630563788
20,1.4554870128631592,0.06854697869367796,0.7059430480003357,0.07251566696508506,0.11065573770491803,0.5546678652601328
21,1.4508616924285889,0.06854598110983366,0.7055824398994446,0.07251566696508506,0.11065573770491803,0.5554121503526697
22,1.4495574235916138,0.06854598110983366,0.7052011489868164,0.07251566696508506,0.11065573770491803,0.5649227477150732
23,1.4458096027374268,0.06854598110983366,0.704831600189209,0.07251566696508506,0.11065573770491803,0.5660178890938358
24,1.4434577226638794,0.06854598110983366,0.7044544816017151,0.07251566696508506,0.11065573770491803,0.5658140073090022
25,1.4422450065612793,0.06854498355502517,0.7040890455245972,0.07251566696508506,0.11065573770491803,0.5707299675999806
26,1.4393315315246582,0.06854298853251063,0.7037374377250671,0.07251566696508506,0.11065573770491803,0.5735844852956414
