epoch,train_loss,train_f1,val_loss,val_f1,val_recall,val_roc_auc
1,0.7582253217697144,0.06910122113548238,0.7118639945983887,0.07448159119763013,0.12021857923497267,0.5444718762305444
2,0.7607860565185547,0.06910322076569146,0.7112947702407837,0.07448159119763013,0.12021857923497267,0.544434139534241
3,0.7532822489738464,0.0691072203733179,0.7109878659248352,0.07448159119763013,0.12021857923497267,0.544605379508542
4,0.753697395324707,0.06916626841030542,0.7107899188995361,0.0745446844557391,0.12021857923497267,0.5445474359771473
5,0.7544763088226318,0.06916626841030542,0.7106354236602783,0.0745446844557391,0.12021857923497267,0.5445503720130153
6,0.7490842342376709,0.06916827180697765,0.7104763388633728,0.07473460721868365,0.12021857923497267,0.5447442367342992
7,0.7483090758323669,0.06850970287228311,0.7103344202041626,0.07251566696508506,0.11065573770491803,0.544893283731598
8,0.7435762286186218,0.06851070024748872,0.7101927399635315,0.07251566696508506,0.11065573770491803,0.5450250599296733
9,0.7461814880371094,0.06851070024748872,0.7100291848182678,0.07251566696508506,0.11065573770491803,0.5447715245970722
10,0.7427564263343811,0.06851369254735248,0.7098647952079773,0.07251566696508506,0.11065573770491803,0.545271773296581
11,0.7409077286720276,0.06851369254735248,0.7096818685531616,0.07251566696508506,0.11065573770491803,0.5517020372634764
12,0.7359123826026917,0.06851469003872696,0.7094447612762451,0.07251566696508506,0.11065573770491803,0.5522635109462325
13,0.7334055304527283,0.06851469003872696,0.7092145681381226,0.07251566696508506,0.11065573770491803,0.5549600871829945
14,0.7340041399002075,0.06851568755914682,0.7089697122573853,0.07251566696508506,0.11065573770491803,0.5506141496203878
15,0.7311176657676697,0.06854697869367796,0.708657443523407,0.07251566696508506,0.11065573770491803,0.5516446982100544
16,0.7293761968612671,0.06854697869367796,0.7083548903465271,0.07251566696508506,0.11065573770491803,0.5522840631973085
17,0.7288985252380371,0.06854697869367796,0.7080315947532654,0.07251566696508506,0.11065573770491803,0.5523825931068786
18,0.7258867621421814,0.06854797630655936,0.7077056765556335,0.07251566696508506,0.11065573770491803,0.552943462311662
19,0.7249903082847595,0.06854797630655936,0.7073862552642822,0.07251566696508506,0.11065573770491803,0.5531798995530318
20,0.7219054102897644,0.06854697869367796,0.7070231437683105,0.07251566696508506,0.11065573770491803,0.5535128805620608
21,0.7215149998664856,0.06854697869367796,0.7066668272018433,0.07251566696508506,0.11065573770491803,0.5539066547843569
22,0.7227045893669128,0.06854697869367796,0.7063146829605103,0.07251566696508506,0.11065573770491803,0.5543801337450691
23,0.7188056111335754,0.06854598110983366,0.7059902548789978,0.07251566696508506,0.11065573770491803,0.5549539560492701
24,0.7208511233329773,0.06854598110983366,0.7056890726089478,0.07251566696508506,0.11065573770491803,0.5551055936664525
25,0.7172724008560181,0.06854498355502517,0.7053861021995544,0.07251566696508506,0.11065573770491803,0.5609553860714459
26,0.7151302099227905,0.06854498355502517,0.7050970792770386,0.07251566696508506,0.11065573770491803,0.5676565425241618
